"","State","Date","Total_cc","Male_cc","Female_cc","Male_per_cc","Female_per_cc","Male_cr_cc","Female_cr_cc","Total_D","Male_d","Female_d","Male_per_d","Female_per_d","Male_cr_d","Female_cr_d","Source","2018 Pop","2019 Pop","Medicaid Expand","2018 Uninsured","2019 Uninsured","Difference","Median Income","Percent Pov","case_ratio","death_ratio"
"265","Tennessee",2020-05-18,17388,9340,7147,53.72,41.1,287.94,209.75,"298",166,132,55.7,44.3,5.12,3.87,"https://www.tn.gov/health/cedep/ncov.html","6,771,631","6,829,174","N","10.1","10.1","Z","56,060","11.7",1.30684203162166,1.25757575757576
"266","Texas",2020-05-18,47784,24848,22028,52,46.1,179.41,156.95,"1336",732,520,54.8,38.9,5.29,3.7,"https://txdshs.maps.arcgis.com/apps/opsdashboard/index.html#/ed483ecd702b4298ab01e8b9cafc8b83","28,628,666","28,995,881","N","17.7","18.4","*0.6","59,785","13.4",1.12801888505538,1.40769230769231
"267","US Virgin Island",2020-05-18,69,26,43,37.68,62.32,NA,NA,"6",NA,NA,NA,NA,NA,NA,"https://doh.vi.gov/covid19usvi",NA,NA,NA,NA,NA,NA,NA,NA,0.604651162790698,NA
"268","Utah",2020-05-18,7238,3799,3431,52.49,47.4,247.85,226.83,"80",NA,NA,NA,NA,0,0,"https://coronavirus.utah.gov/case-counts/","3,153,550","3,205,958","N","9.4","9.7","0.2","77,067","7.8",1.10725735937045,NA
"269","Vermont",2020-05-18,940,442,494,47.02,52.55,143.52,155.83,"54",30,24,55.56,44.44,9.74,7.57,"https://vcgi.maps.arcgis.com/apps/opsdashboard/index.html#/6128a0bc9ae14e98a686b635001ef7a7","624,358","623,989","Y","4.0","4.5","0.5","70,066","9.2",0.894736842105263,1.25
"270","Virginia",2020-05-18,30388,15026,15173,49.45,49.93,363.07,354.91,"1009",519,487,51.44,48.27,12.54,11.39,"https://public.tableau.com/views/VirginiaCOVID-19Dashboard/VirginiaCOVID-19Dashboard?:embed=yes&:display_count=yes&:showVizHome=no&:toolbar=no","8,501,286","8,535,519","~Y","8.8","7.9","*-0.9","77,151","10.1",0.990311737955579,1.06570841889117
"271","Virginia",2020-05-18,30388,15026,15173,49.45,49.93,363.07,354.91,"1009",519,487,51.44,48.27,12.54,11.39,"https://public.tableau.com/views/VirginiaCOVID-19Dashboard/VirginiaCOVID-19Dashboard?:embed=yes&:display_count=yes&:showVizHome=no&:toolbar=no","1,804,291","1,792,147","~Y","8.8","7.9","*-0.9","77,151","10.1",0.990311737955579,1.06570841889117
"272","Washington",2020-05-18,18433,8479,9585,46,52,232.58,262.7,"1001",541,450,54,45,14.83,12.35,"https://www.doh.wa.gov/Emergencies/Coronavirus","7,523,869","7,614,893","Y","6.4","6.6","0.2","79,726","9.7",0.884611371935316,1.20222222222222
"273","West Virginia",2020-05-18,1490,639,845,42.9,56.7,70.69,91.35,"67",NA,NA,NA,NA,0,0,"https://dhhr.wv.gov/COVID-19/Pages/default.aspx",NA,NA,NA,NA,NA,NA,NA,NA,0.756213017751479,NA
"274","Wisconsin",2020-05-18,12543,6146,6397,49,51,213.97,220.13,"453",263,190,58,42,9.15,6.55,"https://www.dhs.wisconsin.gov/covid-19/data.htm","5,807,406","5,822,434","N","5.5","5.7","0.3","62,629","8.9",0.960762857589495,1.38421052631579
"275","Wyoming",2020-05-18,566,283,280,50,49.5,95.29,98.35,"8",NA,NA,NA,NA,0,0,"https://health.wyo.gov/publichealth/infectious-disease-epidemiology-unit/disease/novel-coronavirus/covid-19-map-and-statistics/","577,601","578,759","N","10.5","12.3","*1.8","62,539","11.2",1.01071428571429,NA
"276","Alabama",2020-05-25,14478,5962,8402,41.18,58.03,253.08,334.87,"551",302,249,54.8,45.2,12.82,9.93,"https://alpublichealth.maps.arcgis.com/apps/opsdashboard/index.html#/6d2771faa9da4a2786a509d82c8cf0f7",NA,NA,NA,NA,NA,NA,NA,NA,0.709592954058557,1.21285140562249
"277","Alaska",2020-05-25,408,208,200,51,49,53.97,56.64,"10",5,5,50,50,1.3,1.42,"https://coronavirus-response-alaska-dhss.hub.arcgis.com/","4,887,681","4,903,185","+Y","12.6","12.2","-0.4","68,734","12.6",1.04,1
"278","Alaska",2020-05-25,408,208,200,51,49,53.97,56.64,"10",5,5,50,50,1.3,1.42,"https://coronavirus-response-alaska-dhss.hub.arcgis.com/","735,139","731,545","+Y","12.6","12.2","-0.4","68,734","12.6",1.04,1
"279","Arizona",2020-05-25,16339,7711,8609,47.19,52.69,223.28,246.45,"800",438,361,54.75,45.13,12.68,10.33,"https://www.azdhs.gov/preparedness/epidemiology-disease-control/infectious-disease-epidemiology/index.php#novel-coronavirus-home","7,158,024","7,278,717","Y","10.6","11.3","*0.7","62,283","13.2",0.895690556394471,1.21329639889197
"280","Arkansas",2020-05-25,5922,3617,2265,61.08,38.25,246.32,148.79,"116",NA,NA,NA,NA,0,0,"https://www.healthy.arkansas.gov/programs-services/topics/novel-coronavirus","3,009,733","3,017,804","Y","8.2","9.1","*0.9","49,781","15.4",1.59690949227373,NA
"281","California",2020-05-25,92710,46633,45613,50.3,49.2,239.71,231.6,"3774",2106,1664,55.8,44.1,10.83,8.45,"https://update.covid19.ca.gov/","39,461,588","39,512,223","Y","7.2","7.7","*0.5","70,489","12.0",1.02236204590796,1.265625
"282","Colorado",2020-05-25,24174,11630,12227,48.11,50.58,418.22,444.58,"1088",609,266,55.93,43.77,21.88,9.68,"https://covid19.colorado.gov/case-data","5,691,287","5,758,736","Y","7.5","8.0","*0.5","73,034","9.0",0.951173632125624,2.28947368421053
"283","Connecticut",2020-05-25,40468,18145,22099,44.84,54.61,1038.56,1204.72,"3693",1821,1863,49.31,50.45,104.23,101.56,"https://portal.ct.gov/Coronavirus","3,571,520","3,565,287","Y","5.3","5.9","*0.6","72,812","10.4",0.821077876827006,0.977455716586151
"284","Delaware",2020-05-25,8809,3934,4831,44.66,54.84,856.02,986.07,"326",157,169,48.16,51.84,34.16,34.5,"https://myhealthycommunity.dhss.delaware.gov/locations/state","965,479","973,764","Y","5.7","6.6","0.9","65,012","8.1",0.81432415648934,0.928994082840237
"285","District of Columbia",2020-05-25,8110,4070,4020,50.18,49.57,1252.77,1117.86,"432",NA,NA,NA,NA,0,0,"https://coronavirus.dc.gov/release/coronavirus-data-april-30-2020","701,547","705,749","Y","3.2","3.5","0.4",NA,"14.3",1.01243781094527,NA
"286","Florida",2020-05-25,50867,24443,25073,48.05,49.29,242.68,238.2,"2237",NA,NA,NA,NA,0,0,"https://experience.arcgis.com/experience/96dd742462124fa0b38ddedb9b25e429/","21,244,317","21,477,737","N","13.0","13.2","0.2","54,644","13.5",0.9748733697603,NA
"287","Georgia",2020-05-25,49902,NA,NA,NA,NA,0,0,"1827",NA,NA,NA,NA,0,0,"https://dph.georgia.gov/covid-19-daily-status-report","10,511,131","10,617,423","N","13.7","13.4","-0.2","55,821","14.0",NA,NA
"288","Hawaii",2020-05-25,643,NA,NA,NA,NA,0,0,"17",NA,NA,NA,NA,0,0,"https://health.hawaii.gov/coronavirusdisease2019/what-you-should-know/current-situation-in-hawaii/","1,420,593","1,415,872","Y","4.1","4.2","0.1","80,108","9.9",NA,NA
"289","Idaho",2020-05-25,2626,1171,1448,44.59,55.14,138.49,171.92,"79",40,39,50.63,49.37,4.73,4.63,"https://public.tableau.com/profile/idaho.division.of.public.health#!/vizhome/DPHIdahoCOVID-19Dashboard_V2/Story1","1,750,536","1,787,065","N","11.1","10.8","-0.3","58,728","11.5",0.808701657458563,1.02564102564103
"290","Illinois",2020-05-25,110304,52830,55561,47.89,50.37,839.12,851.43,"4856",2696,2153,55.52,44.34,42.82,32.99,"http://www.dph.illinois.gov/covid19/covid19-statistics","12,723,071","12,671,821","Y","7.0","7.4","*0.4","70,145","10.9",0.950846817011933,1.25220622387366
"291","Indiana",2020-05-25,31376,14464,16159,46.1,51.5,442.19,480,"1824",914,866,50.1,47.5,27.94,25.74,"https://coronavirus.in.gov/","6,695,497","6,732,219","+Y","8.3","8.7","*0.5","59,892","11.6",0.895104895104895,1.0554272517321
"292","Iowa",2020-05-25,17434,8717,8194,50,47,560.77,519.26,"456",242,214,53,47,15.55,13.58,"https://idph.iowa.gov/Emerging-Health-Issues/Novel-Coronavirus","3,148,618","3,155,070","Y","4.7","5.0","0.3","68,718","8.2",1.06382719062729,1.13084112149533
"293","Kansas",2020-05-25,8958,4969,3801,55.47,42.43,342.83,260.46,"185",96,89,51.89,48.11,6.62,6.1,"https://www.coronavirus.kdheks.gov/","2,911,359","2,913,314","N","8.8","9.2","0.4","63,938","10.9",1.30728755590634,1.07865168539326
"294","Kentucky",2020-05-25,8571,4071,4251,47.5,49.6,186.18,188.65,"391",169,222,43.22,56.78,7.73,9.85,"https://govstatus.egov.com/kycovid19","4,461,153","4,467,673","Y","5.6","6.4","*0.8","54,555","14.6",0.957657021877205,0.761261261261261
"295","Louisiana",2020-05-25,37169,14868,20443,40,55,652.1,857.63,"2567",1396,1171,54.4,45.6,61.25,49.11,"http://ldh.la.gov/coronavirus/","4,659,690","4,648,794","#Y","8.0","8.9","*0.9","49,973","19.8",0.72729051509074,1.19214346712212
"296","Maine",2020-05-25,1845,989,1065,53.6,57.72,151.62,156.5,"78",NA,NA,NA,NA,0,0,"https://www.maine.gov/dhhs/mecdc/infectious-disease/epi/airborne/coronavirus.shtml","1,339,057","1,344,212","N","8.0","8.0","Z","58,663","12.0",0.928638497652582,NA
"297","Maryland",2020-05-25,46313,22238,24075,48.02,51.98,764.11,778.34,"2162",1094,1068,50.6,49.4,37.59,34.53,"https://coronavirus.maryland.gov/","6,035,802","6,045,680","Y","6.0","6.0","Z","86,223","7.8",0.923696780893043,1.02434456928839
"298","Massachusetts",2020-05-25,92675,50529,40792,54.52,44.02,1524.72,1160.11,"6372",3060,3305,48.02,51.87,92.34,93.99,"https://www.mass.gov/info-details/covid-19-cases-quarantine-and-monitoring","6,882,635","6,892,503","Y","2.8","3.0","*0.2","86,345","10.0",1.23869876446362,0.925869894099849
"299","Michigan",2020-05-25,54679,25699,28980,47,53,524.57,572.91,"5228",2771,2457,53,47,56.56,48.58,"https://www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html","9,984,072","9,986,857","^Y","5.4","5.8","*0.4","60,449","11.0",0.886783988957902,1.12779812779813
"300","Minnesota",2020-05-25,20573,9885,10279,48.05,49.96,359.23,370.33,"869",NA,NA,NA,NA,0,0,"https://www.health.state.mn.us/diseases/coronavirus/situation.html#raceeth1","5,606,249","5,639,632","Y","4.4","4.9","*0.5","71,817","8.2",0.961669423095632,NA
"301","Mississippi",2020-05-25,13252,5380,7805,40.6,58.9,370.96,507.38,"625",NA,NA,NA,NA,0,0,"https://msdh.ms.gov/msdhsite/_static/14,0,420.html#caseTable","2,981,020","2,976,149","N","12.1","13.0","*0.8","42,781","19.0",0.689301729660474,NA
"302","Missouri",2020-05-25,11988,5431,6488,45.3,54.12,181.71,209.2,"681",NA,NA,NA,NA,0,0,"https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php","6,121,623","6,137,428","N","9.4","10.0","*0.6","61,726","11.9",0.837083847102343,NA
"303","Montana",2020-05-25,479,235,244,49.06,50.94,44.83,47.15,"16",NA,NA,NA,NA,0,0,"https://dphhs.mt.gov/publichealth/cdepi/diseases/coronavirusmt/demographics","1,060,665","1,068,778","+Y","8.2","8.3","0.1","57,679","10.3",0.963114754098361,NA
"304","Nebraska",2020-05-25,12134,NA,NA,NA,NA,0,0,"150",NA,NA,NA,NA,0,0,"http://dhhs.ne.gov/Pages/Coronavirus.aspx","1,925,614","1,934,408","N","8.3","8.3","Z","67,575","11.0",NA,NA
"305","Nevada",2020-05-25,7770,3685,3945,47.43,50.77,251.16,271.01,"394",224,156,56.85,39.59,15.27,10.72,"https://app.powerbigov.us/view?r=eyJrIjoiMjA2ZThiOWUtM2FlNS00MGY5LWFmYjUtNmQwNTQ3Nzg5N2I2IiwidCI6ImU0YTM0MGU2LWI4OWUtNGU2OC04ZWFhLTE1NDRkMjcwMzk4MCJ9","3,027,341","3,080,156","Y","11.2","11.4","0.2","61,864","13.1",0.934093789607098,1.43589743589744
"306","New Hampshire",2020-05-25,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,"https://www.nh.gov/covid19/","1,353,465","1,359,711","^Y","5.7","6.3","0.5","81,346","6.6",NA,NA
"307","New Jersey",2020-05-25,154154,NA,NA,NA,NA,0,0,"11133",NA,NA,NA,NA,0,0,"https://maps.arcgis.com/apps/MapSeries/index.html?appid=c2efd1898e48452e83d7218329e953d7","8,886,025","8,882,190","Y","7.4","7.9","*0.4","74,176","9.1",NA,NA
"308","New Mexico",2020-05-25,6943,3225,3575,46.45,51.49,311.34,338.35,"317",NA,NA,NA,NA,0,0,"https://cv.nmhealth.org/","2,092,741","2,096,829","Y","9.5","10.0","0.4","48,283","18.2",0.902097902097902,NA
"309","New York",2020-05-25,361515,184734,174612,51.1,48.3,1940.58,1729.02,"23391",13588,9794,58.09,41.87,142.74,96.98,"https://covid19tracker.health.ny.gov/views/NYS-COVID19-Tracker/NYSDOHCOVID-19Tracker-Fatalities?%3Aembed=yes&%3Atoolbar=no&%3Atabs=n","19,530,351","19,453,561","Y","5.4","5.2","-0.2","67,274","11.9",1.05796852450003,1.38738002858893
"310","North Carolina",2020-05-25,23222,11209,11634,48.27,50.1,226.68,223.26,"743",383,360,51.55,48.45,7.75,6.91,"https://www.ncdhhs.gov/divisions/public-health/covid19/covid-19-nc-case-count#by-race-ethnicity","10,381,615","10,488,084","N","10.7","11.3","*0.5","53,369","14.1",0.963469142169503,1.06388888888889
"311","North Dakota",2020-05-25,2418,1143,1275,47.27,52.73,295.97,348.34,"53",NA,NA,NA,NA,0,0,"https://www.health.nd.gov/diseases-conditions/coronavirus/north-dakota-coronavirus-cases","758,080","762,062","Y","7.3","6.9","-0.4","66,505","11.1",0.896470588235294,NA
"312","Ohio",2020-05-25,29777,15782,13995,53,47,276.68,235.69,"1969",1033,935,52.46,47.49,18.11,15.75,"https://coronavirus.ohio.gov/wps/portal/gov/covid-19/home","11,676,341","11,689,100","Y","6.5","6.6","0.1","61,633","12.4",1.12768846016434,1.1048128342246
"313","Oklahoma",2020-05-25,6037,2691,2629,44.58,43.55,138.6,133.01,"311",162,149,52.09,47.91,8.34,7.54,"https://coronavirus.health.ok.gov/","3,940,235","3,956,971","N","14.2","14.3","0.1","54,434","13.1",1.02358311144922,1.08724832214765
"314","Oregon",2020-05-25,3927,1863,2058,47.44,52.41,92.09,99.96,"148",85,63,57.43,42.57,4.2,3.06,"https://govstatus.egov.com/OR-OHA-COVID-19","4,181,886","4,217,737","Y","7.1","7.2","0.1","69,165","10.6",0.905247813411079,1.34920634920635
"315","Pennsylvania",2020-05-25,67713,29809,37216,44.02,54.96,475.94,570.1,"5124",0,0,0,0,0,0,"https://www.health.pa.gov/topics/disease/coronavirus/Pages/Cases.aspx","12,800,922","12,801,989","^Y","5.5","5.8","*0.2","64,524","11.4",0.800972699914015,NA
"316","Puerto Rico",2020-05-25,1227,620,607,50.53,49.47,38.44,34.21,"129",NA,NA,NA,NA,0,0,"https://estadisticas.pr/en/covid-19",NA,NA,NA,NA,NA,NA,NA,NA,1.02141680395387,NA
"317","Rhode Island",2020-05-25,14065,6189,7876,44,56,1205.57,1449.79,"608",292,316,48,52,56.85,58.19,"https://ri-department-of-health-covid-19-data-rihealth.hub.arcgis.com/","1,058,287","1,059,361","Y","4.1","4.1","Z","62,266","10.1",0.785804977145759,0.924050632911392
"318","South Carolina",2020-05-25,10096,4281,5593,42.4,55.4,177.94,219.32,"419",218,201,52,48,9.06,7.89,"https://scdhec.gov/infectious-diseases/viruses/coronavirus-disease-2019-covid-19/testing-sc-data-covid-19","5,084,156","5,148,714","N","10.5","10.8","0.4","57,444","14.0",0.765421062041838,1.08457711442786
"319","South Dakota",2020-05-25,4563,2437,2126,53.41,46.59,559.25,496.12,"50",23,27,46,54,5.28,6.3,"https://doh.sd.gov/news/coronavirus.aspx","878,698","884,659","N","9.8","10.2","0.4","59,463","10.7",1.14628410159925,0.851851851851852
"320","Tennessee",2020-05-25,20145,11004,8363,54.62,41.51,339.24,245.44,"336",187,149,55.65,44.35,5.77,4.37,"https://www.tn.gov/health/cedep/ncov.html","6,771,631","6,829,174","N","10.1","10.1","Z","56,060","11.7",1.31579576706923,1.25503355704698
"321","Texas",2020-05-25,55348,29224,25073,52.8,45.3,211.01,178.64,"1519",831,592,54.7,39,6,4.22,"https://txdshs.maps.arcgis.com/apps/opsdashboard/index.html#/ed483ecd702b4298ab01e8b9cafc8b83","28,628,666","28,995,881","N","17.7","18.4","*0.6","59,785","13.4",1.16555657480158,1.40371621621622
"322","US Virgin Island",2020-05-25,69,26,43,37.68,62.32,NA,NA,"6",NA,NA,NA,NA,NA,NA,"https://doh.vi.gov/covid19usvi",NA,NA,NA,NA,NA,NA,NA,NA,0.604651162790698,NA
"323","Utah",2020-05-25,8392,4422,3961,52.69,47.2,288.5,261.87,"97",NA,NA,NA,NA,0,0,"https://coronavirus.utah.gov/case-counts/","3,153,550","3,205,958","N","9.4","9.7","0.2","77,067","7.8",1.11638475132542,NA
"324","Vermont",2020-05-25,956,452,501,47.28,52.41,146.77,158.04,"54",30,24,55.56,44.44,9.74,7.57,"https://vcgi.maps.arcgis.com/apps/opsdashboard/index.html#/6128a0bc9ae14e98a686b635001ef7a7","624,358","623,989","Y","4.0","4.5","0.5","70,066","9.2",0.902195608782435,1.25
"325","Virginia",2020-05-25,36244,17891,18094,49.36,49.92,432.3,423.23,"1171",577,591,49.27,50.47,13.94,13.82,"https://public.tableau.com/views/VirginiaCOVID-19Dashboard/VirginiaCOVID-19Dashboard?:embed=yes&:display_count=yes&:showVizHome=no&:toolbar=no","8,501,286","8,535,519","~Y","8.8","7.9","*-0.9","77,151","10.1",0.988780811318669,0.976311336717428
"326","Virginia",2020-05-25,36244,17891,18094,49.36,49.92,432.3,423.23,"1171",577,591,49.27,50.47,13.94,13.82,"https://public.tableau.com/views/VirginiaCOVID-19Dashboard/VirginiaCOVID-19Dashboard?:embed=yes&:display_count=yes&:showVizHome=no&:toolbar=no","1,804,291","1,792,147","~Y","8.8","7.9","*-0.9","77,151","10.1",0.988780811318669,0.976311336717428
"327","Washington",2020-05-25,19828,9121,10311,46,52,250.18,282.58,"1061",573,477,54,45,15.72,13.09,"https://www.doh.wa.gov/Emergencies/Coronavirus","7,523,869","7,614,893","Y","6.4","6.6","0.2","79,726","9.7",0.88458927359131,1.20125786163522
"328","West Virginia",2020-05-25,1771,786,976,44.38,55.11,86.93,105.53,"72",NA,NA,NA,NA,0,0,"https://dhhr.wv.gov/COVID-19/Pages/default.aspx",NA,NA,NA,NA,NA,NA,NA,NA,0.805327868852459,NA
"329","Wisconsin",2020-05-25,15277,7499,7732,49.09,50.61,261.07,266.07,"510",0,0,0,0,0,0,"https://www.dhs.wisconsin.gov/covid-19/data.htm","5,807,406","5,822,434","N","5.5","5.7","0.3","62,629","8.9",0.969865494050698,NA
"330","Wyoming",2020-05-25,638,313,323,49.1,50.6,105.48,113.33,"12",NA,NA,NA,NA,0,0,"https://health.wyo.gov/publichealth/infectious-disease-epidemiology-unit/disease/novel-coronavirus/covid-19-map-and-statistics/","577,601","578,759","N","10.5","12.3","*1.8","62,539","11.2",0.969040247678019,NA
"331","Alabama",2020-06-01,17952,7461,10371,41.56,57.77,316.7,413.37,"630",338,292,53.7,46.3,14.36,11.63,"https://alpublichealth.maps.arcgis.com/apps/opsdashboard/index.html#/6d2771faa9da4a2786a509d82c8cf0f7",NA,NA,NA,NA,NA,NA,NA,NA,0.719409892970784,1.15753424657534
"332","Alaska",2020-06-01,460,236,224,51.3,48.7,61.2,63.47,"10",5,5,50,50,1.3,1.42,"https://coronavirus-response-alaska-dhss.hub.arcgis.com/","4,887,681","4,903,185","+Y","12.6","12.2","-0.4","68,734","12.6",1.05357142857143,1
"333","Alaska",2020-06-01,460,236,224,51.3,48.7,61.2,63.47,"10",5,5,50,50,1.3,1.42,"https://coronavirus-response-alaska-dhss.hub.arcgis.com/","735,139","731,545","+Y","12.6","12.2","-0.4","68,734","12.6",1.05357142857143,1
"334","Arizona",2020-06-01,19936,9311,10589,46.7,53.11,269.62,303.13,"906",496,409,54.75,45.14,14.36,11.71,"https://www.azdhs.gov/preparedness/epidemiology-disease-control/infectious-disease-epidemiology/index.php#novel-coronavirus-home","7,158,024","7,278,717","Y","10.6","11.3","*0.7","62,283","13.2",0.87930871659269,1.21271393643032
"335","Arkansas",2020-06-01,7253,4225,3003,58.25,41.4,287.73,197.27,"133",NA,NA,NA,NA,0,0,"https://www.healthy.arkansas.gov/programs-services/topics/novel-coronavirus","3,009,733","3,017,804","Y","8.2","9.1","*0.9","49,781","15.4",1.40692640692641,NA
"336","California",2020-06-01,110583,55627,54396,50.3,49.19,285.94,276.19,"4213",2253,1784,53.48,42.35,11.58,9.06,"https://update.covid19.ca.gov/","39,461,588","39,512,223","Y","7.2","7.7","*0.5","70,489","12.0",1.02263034046621,1.26289237668161
"337","Colorado",2020-06-01,26378,12580,13265,47.69,50.29,452.37,482.33,"1181",653,289,55.29,44.29,23.48,10.52,"https://covid19.colorado.gov/case-data","5,691,287","5,758,736","Y","7.5","8.0","*0.5","73,034","9.0",0.948360346777233,2.25951557093426
"338","Connecticut",2020-06-01,42201,18906,23038,44.8,54.59,1082.12,1255.91,"3944",1895,2043,48.05,51.8,108.46,111.37,"https://portal.ct.gov/Coronavirus","3,571,520","3,565,287","Y","5.3","5.9","*0.6","72,812","10.4",0.820644153138293,0.927557513460597
"339","Delaware",2020-06-01,9498,4234,5220,44.58,54.96,921.3,1065.47,"366",174,192,47.54,52.46,37.86,39.19,"https://myhealthycommunity.dhss.delaware.gov/locations/state","965,479","973,764","Y","5.7","6.6","0.9","65,012","8.1",0.811111111111111,0.90625
"340","District of Columbia",2020-06-01,8801,4411,4370,50.12,49.65,1357.73,1215.18,"466",NA,NA,NA,NA,0,0,"https://coronavirus.dc.gov/release/coronavirus-data-april-30-2020","701,547","705,749","Y","3.2","3.5","0.4",NA,"14.3",1.00938215102975,NA
"341","Florida",2020-06-01,56163,26995,27704,48.07,49.33,268.02,263.19,"2451",NA,NA,NA,NA,0,0,"https://experience.arcgis.com/experience/96dd742462124fa0b38ddedb9b25e429/","21,244,317","21,477,737","N","13.0","13.2","0.2","54,644","13.5",0.974408027721629,NA
"342","Georgia",2020-06-01,47063,NA,NA,NA,NA,0,0,"2053",NA,NA,NA,NA,0,0,"https://dph.georgia.gov/covid-19-daily-status-report","10,511,131","10,617,423","N","13.7","13.4","-0.2","55,821","14.0",NA,NA
"343","Hawaii",2020-06-01,652,NA,NA,NA,NA,0,0,"17",NA,NA,NA,NA,0,0,"https://health.hawaii.gov/coronavirusdisease2019/what-you-should-know/current-situation-in-hawaii/","1,420,593","1,415,872","Y","4.1","4.2","0.1","80,108","9.9",NA,NA
"344","Idaho",2020-06-01,2839,1280,1552,45.09,54.67,151.38,184.27,"82",39,43,47.56,52.44,4.61,5.11,"https://public.tableau.com/profile/idaho.division.of.public.health#!/vizhome/DPHIdahoCOVID-19Dashboard_V2/Story1","1,750,536","1,787,065","N","11.1","10.8","-0.3","58,728","11.5",0.824742268041237,0.906976744186046
"345","Illinois",2020-06-01,120260,56981,60760,47.38,50.52,905.05,931.1,"5390",2967,2412,55.05,44.75,47.13,36.96,"http://www.dph.illinois.gov/covid19/covid19-statistics","12,723,071","12,671,821","Y","7.0","7.4","*0.4","70,145","10.9",0.937804476629361,1.23009950248756
"346","Indiana",2020-06-01,34574,15939,17806,46.1,51.5,487.26,528.93,"1967",985,932,50.1,47.4,30.13,27.7,"https://coronavirus.in.gov/","6,695,497","6,732,219","+Y","8.3","8.7","*0.5","59,892","11.6",0.895147703021453,1.0568669527897
"347","Iowa",2020-06-01,19622,10007,9222,51,47,643.77,584.43,"537",279,258,52,48,17.96,16.33,"https://idph.iowa.gov/Emerging-Health-Issues/Novel-Coronavirus","3,148,618","3,155,070","Y","4.7","5.0","0.3","68,718","8.2",1.08512253307309,1.08139534883721
"348","Kansas",2020-06-01,9719,5358,4180,55.13,43.01,369.67,286.43,"208",107,101,51.44,48.56,7.38,6.92,"https://www.coronavirus.kdheks.gov/","2,911,359","2,913,314","N","8.8","9.2","0.4","63,938","10.9",1.28181818181818,1.05940594059406
"349","Kentucky",2020-06-01,9704,4639,4965,47.81,51.16,212.17,220.31,"431",194,237,45.01,54.99,8.87,10.52,"https://govstatus.egov.com/kycovid19","4,461,153","4,467,673","Y","5.6","6.4","*0.8","54,555","14.6",0.934340382678751,0.818565400843882
"350","Louisiana",2020-06-01,39916,15966,21954,40,55,700.29,921.02,"2686",1450,1236,54,46,63.62,51.83,"http://ldh.la.gov/coronavirus/","4,659,690","4,648,794","#Y","8.0","8.9","*0.9","49,973","19.8",0.727247881934955,1.17313915857605
"351","Maine",2020-06-01,2325,1123,1202,48.3,51.7,172.16,176.63,"89",NA,NA,NA,NA,0,0,"https://www.maine.gov/dhhs/mecdc/infectious-disease/epi/airborne/coronavirus.shtml","1,339,057","1,344,212","N","8.0","8.0","Z","58,663","12.0",0.934276206322795,NA
"352","Maryland",2020-06-01,52778,25272,27506,47.88,52.12,868.36,889.27,"2411",1227,1184,50.89,49.11,42.16,38.28,"https://coronavirus.maryland.gov/","6,035,802","6,045,680","Y","6.0","6.0","Z","86,223","7.8",0.918781356794881,1.03631756756757
"353","Massachusetts",2020-06-01,96965,42627,52948,43.96,54.61,1286.28,1505.82,"6846",3263,3577,47.66,52.25,98.46,101.73,"https://www.mass.gov/info-details/covid-19-cases-quarantine-and-monitoring","6,882,635","6,892,503","Y","2.8","3.0","*0.2","86,345","10.0",0.80507290171489,0.912216941571149
"354","Michigan",2020-06-01,57397,26977,29846,47,52,550.64,590.04,"5491",2910,2581,53,47,59.4,51.02,"https://www.michigan.gov/coronavirus/0,9753,7-406-98163_98173---,00.html","9,984,072","9,986,857","^Y","5.4","5.8","*0.4","60,449","11.0",0.903873215841319,1.12746997287873
"355","Minnesota",2020-06-01,24850,11937,12404,48.04,49.92,433.8,446.89,"1040",NA,NA,NA,NA,0,0,"https://www.health.state.mn.us/diseases/coronavirus/situation.html#raceeth1","5,606,249","5,639,632","Y","4.4","4.9","*0.5","71,817","8.2",0.962350854563044,NA
"356","Mississippi",2020-06-01,15501,6293,9099,40.6,58.7,433.91,591.47,"734",NA,NA,NA,NA,0,0,"https://msdh.ms.gov/msdhsite/_static/14,0,420.html#caseTable","2,981,020","2,976,149","N","12.1","13.0","*0.8","42,781","19.0",0.691614463127816,NA
"357","Missouri",2020-06-01,13147,5962,7106,45.35,54.05,199.48,229.13,"772",NA,NA,NA,NA,0,0,"https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php","6,121,623","6,137,428","N","9.4","10.0","*0.6","61,726","11.9",0.839009287925697,NA
"358","Montana",2020-06-01,515,252,263,48.93,51.07,48.07,50.82,"17",NA,NA,NA,NA,0,0,"https://dphhs.mt.gov/publichealth/cdepi/diseases/coronavirusmt/demographics","1,060,665","1,068,778","+Y","8.2","8.3","0.1","57,679","10.3",0.958174904942966,NA
"359","Nebraska",2020-06-01,14101,6994,6908,49.6,48.99,736.29,723.47,"170",93,76,54.71,44.71,9.79,7.96,"http://dhhs.ne.gov/Pages/Coronavirus.aspx","1,925,614","1,934,408","N","8.3","8.3","Z","67,575","11.0",1.01244933410539,1.22368421052632
